County,ShortName,CD,Clinton,Trump,Total,
NYC - Manhattan (pt.),NYC_MN,12,0,0,0,0
NYC - Manhattan (pt.),NYC_MN,13,0,0,0,0
NYC - Queens (pt.),NYC_QN,3,0,0,0,0
NYC - Queens (pt.),NYC_QN,5,0,0,0,0
NYC - Queens (pt.),NYC_QN,6,0,0,0,0
NYC - Queens (pt.),NYC_QN,7,0,0,0,0
NYC - Queens (pt.),NYC_QN,8,0,0,0,0
NYC - Queens (pt.),NYC_QN,12,0,0,0,0
NYC - Queens (pt.),NYC_QN,14,0,0,0,0
,,,,,,
Total E/A/P Votes,,,,,,
Broome (pt.),Broome,EV,0,0,0,0
Dutchess (pt.),Dutchess,EV,2,5,7,0
Erie (pt.),Erie,EV,0,0,0,0
Herkimer (pt.),Herkimer,EV,0,0,0,0
Monroe (pt.),Monroe,EV,0,0,0,0
Montgomery (pt.),Montgomery,EV,0,0,0,0
Nassau (pt.),Nassau,EV,0,0,0,0
Niagara (pt.),Niagara,EV,0,0,0,0
Ontario (pt.),Ontario,EV,26,22,49,1
Oswego (pt.),Oswego,EV,0,0,0,0
Rensselaer (pt.),Rensselaer,EV,0,0,0,0
Saratoga (pt.),Saratoga,EV,0,0,0,0
Suffolk (pt.),Suffolk,EV,0,0,0,0
Tioga (pt.),Tioga,EV,0,0,0,0
Westchester (pt.),Westchester,EV,0,0,0,0
NYC - Bronx (pt.),NYC_BX,EV,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,EV,0,0,0,0
NYC - Manhattan (pt.),NYC_MN,EV,0,0,0,0
NYC - Queens (pt.),NYC_QN,EV,0,0,0,0
