County,ShortName,CD,Clinton,Trump,Total,
Montgomery (pt.),Montgomery,7,0,0,0,0
Montgomery (pt.),Montgomery,8,0,0,0,0
Montgomery (pt.),Montgomery,13,0,0,0,0
Northampton (pt.),Northampton,15,0,0,0,0
Northampton (pt.),Northampton,17,0,0,0,0
Northumberland (pt.),Northumberland,10,0,0,0,0
Northumberland (pt.),Northumberland,11,0,0,0,0
Perry (pt.),Perry,10,0,0,0,0
Perry (pt.),Perry,11,0,0,0,0
Philadelphia (pt.),Philadelphia,1,0,0,0,0
Philadelphia (pt.),Philadelphia,2,0,0,0,0
Philadelphia (pt.),Philadelphia,13,0,0,0,0
Somerset (pt.),Somerset,9,0,0,0,0
Somerset (pt.),Somerset,12,0,0,0,0
Tioga (pt.),Tioga,5,0,0,0,0
Tioga (pt.),Tioga,10,0,0,0,0
Washington (pt.),Washington,9,0,0,0,0
Washington (pt.),Washington,18,0,0,0,0
Westmoreland (pt.),Westmoreland,9,0,0,0,0
Westmoreland (pt.),Westmoreland,12,0,0,0,0
Westmoreland (pt.),Westmoreland,14,0,0,0,0
Westmoreland (pt.),Westmoreland,18,0,0,0,0
,,,,,,
Total E/A/P Votes,,,,,,
Allegheny (pt.),Allegheny,EV,0,0,0,0
Berks (pt.),Berks,EV,0,0,0,0
Cambria (pt.),Cambria,EV,0,0,0,0
Carbon (pt.),Carbon,EV,0,0,0,0
Chester (pt.),Chester,EV,0,0,0,0
Clarion (pt.),Clarion,EV,0,0,0,0
Crawford (pt.),Crawford,EV,0,0,0,0
Cumberland (pt.),Cumberland,EV,0,0,0,0
Dauphin (pt.),Dauphin,EV,104,17,121,0
Delaware (pt.),Delaware,EV,0,0,0,0
Erie (pt.),Erie,EV,0,0,0,0
Greene (pt.),Greene,EV,0,0,0,0
Huntingdon (pt.),Huntingdon,EV,0,0,0,0
Lackawanna (pt.),Lackawanna,EV,0,0,0,0
Lancaster (pt.),Lancaster,EV,0,0,0,0
Lawrence (pt.),Lawrence,EV,0,0,0,0
Lebanon (pt.),Lebanon,EV,0,0,0,0
Luzerne (pt.),Luzerne,EV,0,0,0,0
Monroe (pt.),Monroe,EV,0,0,0,0
Montgomery (pt.),Montgomery,EV,0,0,0,0
Northampton (pt.),Northampton,EV,0,0,0,0
Northumberland (pt.),Northumberland,EV,0,0,0,0
Perry (pt.),Perry,EV,0,0,0,0
Philadelphia (pt.),Philadelphia,EV,0,0,0,0
Somerset (pt.),Somerset,EV,0,0,0,0
Tioga (pt.),Tioga,EV,0,0,0,0
Washington (pt.),Washington,EV,0,0,0,0
Westmoreland (pt.),Westmoreland,EV,0,0,0,0
