County,Precinct,CD,Clinton,Trump,Total,Other
Providence (pt.),Providence 2818,1,1009,99,1166,58
Providence (pt.),Providence 2819,1,959,424,1439,56
Providence (pt.),Providence 2820,1,138,79,225,8
Providence (pt.),Providence 2821,1,788,176,999,35
Providence (pt.),Providence 2822,1,210,17,239,12
Providence (pt.),Providence 2823,1,1139,96,1264,29
Providence (pt.),Providence 2824,1,1278,200,1521,43
Providence (pt.),Providence 2825,1,189,20,219,10
Providence (pt.),Providence 2826,1,1082,92,1207,33
Providence (pt.),Providence 2827,1,1158,75,1264,31
Providence (pt.),Providence 2828,1,725,87,845,33
Providence (pt.),Providence 2829,1,810,78,914,26
Providence (pt.),Providence 2830,1,62,6,72,4
Providence (pt.),Providence 2831,1,819,44,877,14
Providence (pt.),Providence 2832,1,1008,91,1129,30
Providence (pt.),Providence 2833,1,522,28,566,16
Providence (pt.),Providence 2834,1,239,26,276,11
Providence (pt.),Providence 2835,2,164,41,214,9
Providence (pt.),Providence 2836,2,9,1,10,0
Providence (pt.),Providence 2837,2,386,90,501,25
Providence (pt.),Providence 2838,2,226,53,286,7
Providence (pt.),Providence 2839,2,420,65,518,33
Providence (pt.),Providence 2840,2,372,19,398,7
Providence (pt.),Providence 2841,2,274,32,323,17
Providence (pt.),Providence 2842,2,162,31,198,5
Providence (pt.),Providence 2843,2,205,67,283,11
Providence (pt.),Providence 2844,2,674,267,980,39
Providence (pt.),Providence 2845,2,369,194,589,26
Providence (pt.),Providence 2846,2,438,210,670,22
Providence (pt.),Providence 2847,2,372,42,429,15
Providence (pt.),Providence 2848,2,93,17,115,5
Providence (pt.),Providence 2849,2,692,248,974,34
Providence (pt.),Providence 2850,2,391,95,499,13
Providence (pt.),Providence 2851,2,602,228,872,42
Providence (pt.),Providence 2852,2,215,44,271,12
Providence (pt.),Providence 2853,2,187,40,235,8
Providence (pt.),Providence 2854,2,1219,354,1634,61
Providence (pt.),Providence 2855,2,1106,229,1404,69
Providence (pt.),Providence 2856,2,59,13,72,0
Providence (pt.),Providence 2857,2,91,8,104,5
Providence (pt.),Providence 2858,2,261,45,319,13
Providence (pt.),Providence 2859,2,96,12,120,12
Providence (pt.),Providence 2860,2,130,19,150,1
Providence (pt.),Providence 2861,2,890,169,1115,56
Providence (pt.),Providence 2862,2,923,170,1156,63
Providence (pt.),Providence 2863,2,563,78,659,18
Providence (pt.),Providence 2864,2,301,22,333,10
Providence (pt.),Providence 2865,2,244,13,260,3
Providence (pt.),Providence 2866,2,704,60,802,38
Providence (pt.),Providence 2867,2,69,6,80,5
Providence (pt.),Providence 2868,2,831,38,889,20
Providence (pt.),Providence 2869,2,125,11,140,4
Providence (pt.),Providence 2870,2,729,84,830,17
Providence (pt.),Providence 2871,2,402,78,500,20
Providence (pt.),Providence 2872,2,46,12,59,1
Providence (pt.),Providence 2873,2,91,12,106,3
Providence (pt.),Providence 2874,2,750,266,1055,39
Providence (pt.),Providence 2875,2,899,158,1091,34
Providence (pt.),Providence 2876,2,548,105,668,15
Providence (pt.),Providence 2877,2,297,82,388,9
Providence (pt.),Providence 2878,2,44,9,55,2
Providence (pt.),Providence 2879,1,702,44,761,15
Providence (pt.),Providence 2880,1,633,57,721,31
Providence (pt.),Providence Limited 1,1,0,0,0,0
Providence (pt.),Providence Limited 2,2,0,0,0,0
Providence (pt.),Providence Presidential,EV,1051,284,1413,78
Richmond,Richmond 2901,2,872,1013,2019,134
Richmond,Richmond 2902,2,816,1012,1940,112
Richmond,Richmond Limited,2,0,0,0,0
Richmond,Richmond Presidential,2,25,33,63,5
Scituate,Scituate 3001,2,644,1175,1906,87
Scituate,Scituate 3002,2,658,1182,1947,107
Scituate,Scituate 3003,2,734,1132,1964,98
Scituate,Scituate Limited,2,1,1,2,0
Scituate,Scituate Presidential,2,8,46,58,4
Smithfield,Smithfield 3101,1,687,908,1669,74
Smithfield,Smithfield 3102,1,694,759,1553,100
Smithfield,Smithfield 3103,1,692,899,1672,81
Smithfield,Smithfield 3104,1,799,968,1862,95
Smithfield,Smithfield 3105,1,840,896,1823,87
Smithfield,Smithfield 3106,1,648,763,1480,69
Smithfield,Smithfield Limited,1,0,0,0,0
Smithfield,Smithfield Presidential,1,42,61,107,4
South Kingstown,South Kingstown 3201,2,321,273,626,32
South Kingstown,South Kingstown 3202,2,934,520,1544,90
South Kingstown,South Kingstown 3203,2,965,548,1612,99
South Kingstown,South Kingstown 3204,2,961,350,1442,131
South Kingstown,South Kingstown 3205,2,1135,442,1704,127
South Kingstown,South Kingstown 3206,2,695,396,1170,79
South Kingstown,South Kingstown 3207,2,1239,573,1935,123
South Kingstown,South Kingstown 3208,2,1128,723,1964,113
South Kingstown,South Kingstown 3209,2,464,299,817,54
South Kingstown,South Kingstown 3210,2,737,462,1260,61
South Kingstown,South Kingstown Limited,2,3,0,3,0
South Kingstown,South Kingstown Presidential,2,95,41,146,10
Tiverton,Tiverton 3301,1,780,660,1515,75
Tiverton,Tiverton 3302,1,759,764,1601,78
Tiverton,Tiverton 3303,1,449,415,901,37
Tiverton,Tiverton 3304,1,583,525,1164,56
Tiverton,Tiverton 3305,1,146,127,288,15
Tiverton,Tiverton 3306,1,719,767,1573,87
Tiverton,Tiverton 3307,1,555,486,1104,63
Tiverton,Tiverton Limited,1,1,0,1,0
