County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Howard,Howard,19,"1,770","6,637","8,695",,,,,,,,,,,,,,,,,,,,,
Hudspeth,Hudspeth,23,324,503,871,,,,,,,,,,,,,,,,,,,,,
Hunt,Hunt,4,"6,396","23,910","31,330",,,,,,,,,,,,,,,,,,,,,
Hutchinson,Hutchinson,13,854,"7,042","8,129",,,,,,,,,,,,,,,,,,,,,
Irion,Irion,11,90,660,760,,,,,,,,,,,,,,,,,,,,,
Jack,Jack,13,314,"2,973","3,339",,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,27,904,"4,266","5,275",,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,36,"2,590","10,609","13,393",,,,,,,,,,,,,,,,,,,,,
Jeff Davis,JeffDavis,23,422,695,"1,176",,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,14,"42,443","42,862","87,439",,,,,,,,,,,,,,,,,,,,,
Jim Hogg,JimHogg,15,"1,635",430,"2,119",,,,,,,,,,,,,,,,,,,,,
Jim Wells,JimWells,34,"6,694","5,420","12,364",,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,25,"10,988","44,382","57,299",,,,,,,,,,,,,,,,,,,,,
Jones,Jones,19,936,"4,819","5,938",,,,,,,,,,,,,,,,,,,,,
Karnes,Karnes,15,"1,145","2,965","4,192",,,,,,,,,,,,,,,,,,,,,
Kaufman,Kaufman,5,"10,278","29,587","41,045",,,,,,,,,,,,,,,,,,,,,
Kendall,Kendall,21,"3,643","15,700","19,985",,,,,,,,,,,,,,,,,,,,,
Kenedy,Kenedy,34,99,84,186,,,,,,,,,,,,,,,,,,,,,
Kent,Kent,19,59,360,433,,,,,,,,,,,,,,,,,,,,,
Kerr,Kerr,21,"4,681","17,727","23,181",,,,,,,,,,,,,,,,,,,,,
Kimble,Kimble,11,206,"1,697","1,945",,,,,,,,,,,,,,,,,,,,,
King,King,13,5,149,159,,,,,,,,,,,,,,,,,,,,,
Kinney,Kinney,23,458,936,"1,425",,,,,,,,,,,,,,,,,,,,,
Kleberg,Kleberg,34,"4,716","4,367","9,489",,,,,,,,,,,,,,,,,,,,,
Knox,Knox,13,247,"1,078","1,358",,,,,,,,,,,,,,,,,,,,,
Lamar,Lamar,4,"3,583","14,561","18,557",,,,,,,,,,,,,,,,,,,,,
Lamb,Lamb,19,771,"3,111","3,975",,,,,,,,,,,,,,,,,,,,,
Lampasas,Lampasas,25,"1,483","6,385","8,168",,,,,,,,,,,,,,,,,,,,,
Lavaca,Lavaca,27,"1,170","7,347","8,641",,,,,,,,,,,,,,,,,,,,,
Liberty,Liberty,36,"4,862","18,892","24,203",,,,,,,,,,,,,,,,,,,,,
Limestone,Limestone,17,"1,778","5,796","7,729",,,,,,,,,,,,,,,,,,,,,
Lipscomb,Lipscomb,13,135,"1,159","1,322",,,,,,,,,,,,,,,,,,,,,
Live Oak,LiveOak,15,742,"3,464","4,284",,,,,,,,,,,,,,,,,,,,,
Llano,Llano,11,"1,825","8,299","10,394",,,,,,,,,,,,,,,,,,,,,
Loving,Loving,23,4,58,65,,,,,,,,,,,,,,,,,,,,,
Lubbock,Lubbock,19,"28,023","65,651","98,224",,,,,,,,,,,,,,,,,,,,,
Lynn,Lynn,19,403,"1,546","1,997",,,,,,,,,,,,,,,,,,,,,
Madison,Madison,8,881,"3,351","4,285",,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,"1,165","2,983","4,232",,,,,,,,,,,,,,,,,,,,,
Martin,Martin,11,266,"1,455","1,757",,,,,,,,,,,,,,,,,,,,,
Mason,Mason,11,354,"1,656","2,054",,,,,,,,,,,,,,,,,,,,,
Matagorda,Matagorda,27,"3,500","8,366","12,158",,,,,,,,,,,,,,,,,,,,,
Maverick,Maverick,23,"10,397","2,816","13,588",,,,,,,,,,,,,,,,,,,,,
